Time,Trend,Seasonal1,Seasonal2,Noise,Combined
1,-36.97112206422258,17.415592594235665,-4.617866776506621,0.0,-24.17339624649353
2,-21.57460746084016,-0.006268688925374611,-1.3916581111447386,0.0,-22.972534260910273
3,-2.2279091459836273,-18.13700479986193,-0.05996305919219564,0.0,-20.424877005037754
4,17.526706227625404,-20.456231751497647,0.0618380613305837,0.0,-2.8676874625416597
5,34.072284793409786,-0.3952177222449388,1.4044124727560998,0.0,35.08147954392095
6,44.379428446854696,14.772645823011942,4.636410455241803,0.0,63.78848472510844
7,46.56095981773001,22.867417408628295,7.4358677377674,0.0,76.8642449641257
8,40.21745334508723,1.7527621320094096,7.167229154246087,0.0,49.137444631342724
9,26.5103677478112,-11.231584542689808,4.094886488169864,0.0,19.373669693291255
10,7.949389765571665,-24.457075898515082,1.0583496082936097,0.0,-15.44933652464981
11,-12.06707471972639,-3.970760708818153,0.021350965789443187,0.0,-16.0164844627551
12,-29.874128809514627,7.795899870392976,-0.13112766750934557,0.0,-22.209356606630998
13,-42.21140565157919,25.098575937206,-1.7860642203701627,0.0,-18.898893934743356
14,-46.820022431299044,6.872528957622793,-5.150769105547364,0.0,-45.098262579223615
15,-42.856168526912946,-4.739276477436107,-7.622571809953285,0.0,-55.21801681430234
16,-31.045602270585007,-24.74081599939139,-6.8414230857372855,0.0,-62.62784135571368
17,-13.550768867111323,-10.22691368330937,-3.574557813218803,0.0,-27.352240363639496
18,6.425130602291668,2.3052032309376376,-0.7741987393454404,0.0,7.956135093883866
19,25.224626454843175,23.412295036613514,-0.004290165222612344,0.0,48.632631326234076
20,39.40564158967743,13.766706521700991,0.23706582287829464,0.0,53.40941393425671
21,46.37171555673697,-0.6875770102577061,2.2101326650645765,0.0,47.894271211543845
22,44.847401191221245,-21.21884226712522,5.645620053420795,0.0,29.274178977516822
23,35.11179148654437,-17.20992960465717,7.733364648698887,0.0,25.63522653058609
24,18.947419309006953,0.015256992749377684,6.458051904182972,0.0,25.420728205939305
25,-0.6861138840804387,18.335186881035863,3.067144103101569,0.0,20.716217100056994
26,-20.194023661120458,20.282297755391923,0.539834867854848,0.0,0.6281089621263135
27,-36.00452649901639,0.34179980556580813,0.00010384598754973747,0.0,-35.662622847463034
28,-45.22281233484747,-14.99103921319958,-0.38528189992195877,0.0,-60.599133447969
29,-46.16106725950283,-22.739067888408638,-2.6707780776062493,0.0,-71.57091322551771
30,-38.64750231564859,-1.6411932354452745,-6.110100953419097,0.0,-46.39879650451296
31,-24.057807045270607,11.452792149633812,-7.76561283222271,0.0,-20.370627727859507
32,-5.063268827156635,24.384535103379353,-6.025963113545851,0.0,13.295303162676868
33,14.858324128067174,3.8099283467068457,-2.5820958158834353,0.0,16.086156658890587
34,32.05944534089422,-8.00230042294276,-0.35411201072582,0.0,23.70303290722564
35,43.39067070442661,-25.087622425306957,0.00032343107956636977,0.0,18.30337171019922
36,46.777319511572415,-6.675244943724746,0.5799415934268288,0.0,40.6820161612745
37,41.59931628801499,4.914428225905102,3.16068500938363,0.0,49.674429523303715
38,28.80472296389275,24.792322321207248,6.533793453698899,0.0,60.13083873879889
39,10.736154311512173,10.008893549068675,7.7185484930442,0.0,28.463596353625046
40,-9.298141038895384,-2.435153687457474,5.554987813346425,0.0,-6.178306913006432
41,-27.630001462247336,-23.522158228077036,2.1277818679785407,0.0,-49.024377822345826
42,-40.902971153875626,-13.545317626020122,0.2141723190064956,0.0,-54.234116460889254
43,-46.686847442702806,0.7619743959627041,-0.006235053999387818,0.0,-45.93110810073949
44,-43.92263660442655,21.378310689389064,-0.8235896620897832,0.0,-23.36791557712727
