Time Series,R2,R2_Adj,AIC,BIC
TS1,0.00945,0.00547,11518.95433,11550.83365
TS2,0.16014,0.15677,13850.87029,13882.74962
TS3,0.49541,0.49338,9283.69842,9315.57775
TS4,0.99150,0.99146,4004.96085,4036.84017
TS5,-0.00000,-0.00402,12830.61753,12862.49685
TS6,0.99897,0.99897,1522.38709,1554.26641
TS7,0.78491,0.78405,4212.62624,4244.50556
TS8,0.99913,0.99913,-733.32486,-701.44553
TS9,-0.00000,-0.00402,13430.47935,13462.35867
TS10,-0.00001,-0.00402,11952.15119,11984.03051
TS11,-0.00001,-0.00403,13473.58251,13505.46183
TS12,0.58300,0.58132,3952.25867,3984.13800
TS13,0.88742,0.88697,6171.32613,6203.20546
TS14,0.95952,0.95936,2518.54607,2550.42539
TS15,0.90278,0.90239,6782.51604,6814.39536
TS16,0.88020,0.87972,7791.82243,7823.70175
TS17,-0.00003,-0.00404,10689.83442,10721.71374
TS18,-0.00020,-0.00422,12447.13973,12479.01906
TS19,0.90045,0.90005,7280.36233,7312.24165
TS20,0.93483,0.93457,5132.31686,5164.19619
TS21,0.94650,0.94628,8207.34821,8239.22753
TS22,-0.00002,-0.00404,6745.82783,6777.70715
TS23,0.89395,0.89352,8158.97675,8190.85608
TS24,0.98732,0.98727,-2292.75483,-2260.87550
TS25,0.19452,0.19128,1659.59577,1691.47509
TS26,-0.00340,-0.00744,9339.72090,9371.60023
TS27,0.96333,0.96318,6181.90350,6213.78282
TS28,-0.00000,-0.00402,14097.12332,14129.00264
TS29,0.99878,0.99877,4033.42133,4065.30065
TS30,0.11007,0.10649,14122.22227,14154.10159
TS31,0.99540,0.99538,3116.95449,3148.83381
TS32,-0.00000,-0.00402,10280.44829,10312.32761
TS33,-0.00000,-0.00402,4887.04786,4918.92719
TS34,0.99724,0.99723,2036.92928,2068.80860
TS35,-0.00127,-0.00530,12091.11111,12122.99044
TS36,0.98336,0.98329,7448.40579,7480.28511
TS37,0.99182,0.99178,1525.92819,1557.80751
TS38,0.99840,0.99839,-153.68416,-121.80484
TS39,0.99444,0.99442,3661.99019,3693.86951
TS40,0.22276,0.21964,13109.96194,13141.84127
TS41,0.99483,0.99481,3900.94735,3932.82667
TS42,0.97785,0.97776,8586.93248,8618.81181
TS43,0.99651,0.99649,2757.72120,2789.60052
TS44,-0.00131,-0.00533,11984.80762,12016.68694
TS45,0.92013,0.91981,6347.98013,6379.85946
TS46,0.95292,0.95273,6740.00228,6771.88160
TS47,0.11519,0.11163,11778.71566,11810.59498
TS48,0.25097,0.24796,10312.87439,10344.75371
TS49,-0.00140,-0.00543,12514.51806,12546.39738
TS50,-0.00057,-0.00459,13980.38230,14012.26162
TS51,0.62684,0.62534,11868.98838,11900.86770
TS52,-0.00002,-0.00404,9789.33330,9821.21262
TS53,0.88683,0.88638,8875.43495,8907.31427
TS54,0.99061,0.99058,3140.10827,3171.98759
TS55,-0.00032,-0.00434,13727.42740,13759.30672
TS56,-0.00000,-0.00402,11182.07467,11213.95399
TS57,0.99937,0.99937,1280.95688,1312.83620
TS58,-0.00003,-0.00404,9261.49410,9293.37342
TS59,-0.00026,-0.00428,12760.51675,12792.39607
TS60,0.99901,0.99900,-94.09299,-62.21367
TS61,0.21402,0.21086,2208.24576,2240.12508
TS62,-0.00012,-0.00414,12307.95060,12339.82992
TS63,-0.00000,-0.00402,5632.07439,5663.95372
TS64,0.95588,0.95570,7708.69025,7740.56957
TS65,0.46284,0.46068,10818.20891,10850.08824
TS66,0.54989,0.54808,9238.23522,9270.11454
TS67,0.99275,0.99272,1798.72008,1830.59940
TS68,0.98875,0.98871,3432.38119,3464.26052
TS69,-0.00000,-0.00402,11427.39705,11459.27637
TS70,0.94619,0.94597,8324.05838,8355.93770
TS71,0.99387,0.99384,2484.32448,2516.20380
TS72,0.86841,0.86788,10145.28949,10177.16882
TS73,0.34245,0.33981,12939.04567,12970.92499
TS74,0.79631,0.79550,5132.74771,5164.62704
TS75,0.02106,0.01713,13016.89677,13048.77610
TS76,0.25242,0.24942,13930.92314,13962.80246
TS77,0.99798,0.99797,4064.66831,4096.54763
TS78,-0.00000,-0.00402,13906.13580,13938.01512
TS79,-0.00012,-0.00414,12917.57394,12949.45326
TS80,0.98224,0.98217,5694.56916,5726.44848
TS81,-0.00000,-0.00402,9352.57351,9384.45283
TS82,0.99582,0.99580,5204.39511,5236.27443
TS83,0.98767,0.98762,2684.83224,2716.71156
TS84,-0.00000,-0.00402,11469.85001,11501.72933
TS85,0.98648,0.98643,4704.21123,4736.09055
TS86,-0.00000,-0.00402,6292.44033,6324.31965
TS87,0.20951,0.20633,13147.47457,13179.35390
TS88,0.96992,0.96980,5489.22440,5521.10373
TS89,-0.00000,-0.00402,8731.08384,8762.96316
TS90,-0.00000,-0.00402,12264.81276,12296.69208
TS91,-0.00001,-0.00402,11067.84700,11099.72632
TS92,0.99966,0.99966,1339.85185,1371.73117
TS93,-0.00000,-0.00402,10357.82537,10389.70469
TS94,-0.00000,-0.00402,11313.67592,11345.55524
TS95,-0.00000,-0.00402,12089.61474,12121.49406
TS96,-0.00014,-0.00416,12670.99351,12702.87283
TS97,0.98166,0.98159,5180.01924,5211.89856
TS98,0.75772,0.75674,7588.25916,7620.13848
TS99,0.90758,0.90721,2136.15165,2168.03098
TS100,0.93260,0.93233,8832.56320,8864.44252
