Time Series,Metric,alpha,init,IMFs
TS1,R2,20000,1,2 - 3
TS1,R2_Adj,20000,1,2 - 3
TS1,AIC,20000,1,2 - 3
TS1,BIC,20000,1,2 - 3
TS2,R2,50000,1,2 - 2
TS2,R2_Adj,50000,1,2 - 2
TS2,AIC,50000,1,2 - 2
TS2,BIC,50000,1,2 - 2
TS3,R2,37500,2,2 - 3
TS3,R2_Adj,37500,2,2 - 3
TS3,AIC,37500,2,2 - 3
TS3,BIC,37500,2,2 - 3
TS4,R2,5000,1,2 - 10
TS4,R2_Adj,5000,1,2 - 10
TS4,AIC,5000,1,2 - 10
TS4,BIC,5000,1,2 - 10
TS5,R2,1,2,2 - 3
TS5,R2_Adj,1,2,2 - 3
TS5,AIC,1,2,2 - 3
TS5,BIC,1,2,2 - 3
TS6,R2,20000,1,2 - 2
TS6,R2_Adj,20000,1,2 - 2
TS6,AIC,20000,1,2 - 2
TS6,BIC,20000,1,2 - 2
TS7,R2,100,1,2 - 3
TS7,R2_Adj,100,1,2 - 3
TS7,AIC,100,1,2 - 3
TS7,BIC,100,1,2 - 3
TS8,R2,50,2,2 - 2
TS8,R2_Adj,50,2,2 - 2
TS8,AIC,50,2,2 - 2
TS8,BIC,50,2,2 - 2
TS9,R2,300,2,2 - 9
TS9,R2_Adj,300,2,2 - 9
TS9,AIC,300,2,2 - 9
TS9,BIC,300,2,2 - 9
TS10,R2,2500,2,2 - 3
TS10,R2_Adj,2500,2,2 - 3
TS10,AIC,2500,2,2 - 3
TS10,BIC,2500,2,2 - 3
TS11,R2,500,0,2 - 2
TS11,R2_Adj,500,0,2 - 2
TS11,AIC,500,0,2 - 2
TS11,BIC,500,0,2 - 2
TS12,R2,0,0,2 - 2
TS12,R2_Adj,0,0,2 - 2
TS12,AIC,0,0,2 - 2
TS12,BIC,0,0,2 - 2
TS13,R2,50000,1,2 - 4
TS13,R2_Adj,50000,1,2 - 4
TS13,AIC,50000,1,2 - 4
TS13,BIC,50000,1,2 - 4
TS14,R2,1000,1,2 - 4
TS14,R2_Adj,1000,1,2 - 4
TS14,AIC,1000,1,2 - 4
TS14,BIC,1000,1,2 - 4
TS15,R2,50000,0,2 - 2
TS15,R2_Adj,50000,0,2 - 2
TS15,AIC,50000,0,2 - 2
TS15,BIC,50000,0,2 - 2
TS16,R2,12500,1,2 - 10
TS16,R2_Adj,12500,1,2 - 10
TS16,AIC,12500,1,2 - 10
TS16,BIC,12500,1,2 - 10
TS17,R2,12500,0,2 - 2
TS17,R2_Adj,12500,0,2 - 2
TS17,AIC,12500,0,2 - 2
TS17,BIC,12500,0,2 - 2
TS18,R2,50000,1,2 - 10
TS18,R2_Adj,50000,1,2 - 10
TS18,AIC,50000,1,2 - 10
TS18,BIC,50000,1,2 - 10
TS19,R2,1500,0,2 - 10
TS19,R2_Adj,1500,0,2 - 10
TS19,AIC,1500,0,2 - 10
TS19,BIC,1500,0,2 - 10
TS20,R2,27500,2,2 - 5
TS20,R2_Adj,27500,2,2 - 5
TS20,AIC,27500,2,2 - 5
TS20,BIC,27500,2,2 - 5
TS21,R2,300,2,2 - 2
TS21,R2_Adj,300,2,2 - 2
TS21,AIC,300,2,2 - 2
TS21,BIC,300,2,2 - 2
TS22,R2,500,2,2 - 2
TS22,R2_Adj,500,2,2 - 2
TS22,AIC,500,2,2 - 2
TS22,BIC,500,2,2 - 2
TS23,R2,2500,2,2 - 9
TS23,R2_Adj,2500,2,2 - 9
TS23,AIC,2500,2,2 - 9
TS23,BIC,2500,2,2 - 9
TS24,R2,2500,1,2 - 4
TS24,R2_Adj,2500,1,2 - 4
TS24,AIC,2500,1,2 - 4
TS24,BIC,2500,1,2 - 4
TS25,R2,500,2,2 - 10
TS25,R2_Adj,500,2,2 - 10
TS25,AIC,500,2,2 - 10
TS25,BIC,500,2,2 - 10
TS26,R2,50000,1,2 - 2
TS26,R2_Adj,50000,1,2 - 2
TS26,AIC,50000,1,2 - 2
TS26,BIC,50000,1,2 - 2
TS27,R2,100,2,2 - 8
TS27,R2_Adj,100,2,2 - 8
TS27,AIC,100,2,2 - 8
TS27,BIC,100,2,2 - 8
TS28,R2,50000,2,2 - 9
TS28,R2_Adj,50000,2,2 - 9
TS28,AIC,50000,2,2 - 9
TS28,BIC,50000,2,2 - 9
TS29,R2,3500,1,2 - 10
TS29,R2_Adj,3500,1,2 - 10
TS29,AIC,3500,1,2 - 10
TS29,BIC,3500,1,2 - 10
TS30,R2,3500,0,2 - 2
TS30,R2_Adj,3500,0,2 - 2
TS30,AIC,3500,0,2 - 2
TS30,BIC,3500,0,2 - 2
TS31,R2,0,0,2 - 2
TS31,R2_Adj,0,0,2 - 2
TS31,AIC,0,0,2 - 2
TS31,BIC,0,0,2 - 2
TS32,R2,1,0,2 - 9
TS32,R2_Adj,1,0,2 - 9
TS32,AIC,1,0,2 - 9
TS32,BIC,1,0,2 - 9
TS33,R2,1500,2,1 - 7
TS33,R2_Adj,1500,2,1 - 7
TS33,AIC,1500,2,1 - 7
TS33,BIC,1500,2,1 - 7
TS34,R2,30000,2,2 - 3
TS34,R2_Adj,30000,2,2 - 3
TS34,AIC,30000,2,2 - 3
TS34,BIC,30000,2,2 - 3
TS35,R2,50,0,2 - 5
TS35,R2_Adj,50,0,2 - 5
TS35,AIC,50,0,2 - 5
TS35,BIC,50,0,2 - 5
TS36,R2,300,2,2 - 10
TS36,R2_Adj,300,2,2 - 10
TS36,AIC,300,2,2 - 10
TS36,BIC,300,2,2 - 10
TS37,R2,50000,1,2 - 3
TS37,R2_Adj,50000,1,2 - 3
TS37,AIC,50000,1,2 - 3
TS37,BIC,50000,1,2 - 3
TS38,R2,500,2,2 - 8
TS38,R2_Adj,500,2,2 - 8
TS38,AIC,500,2,2 - 8
TS38,BIC,500,2,2 - 8
TS39,R2,0,0,2 - 2
TS39,R2_Adj,0,0,2 - 2
TS39,AIC,0,0,2 - 2
TS39,BIC,0,0,2 - 2
TS40,R2,42500,1,2 - 8
TS40,R2_Adj,42500,1,2 - 8
TS40,AIC,42500,1,2 - 8
TS40,BIC,42500,1,2 - 8
TS41,R2,42500,0,2 - 2
TS41,R2_Adj,42500,0,2 - 2
TS41,AIC,42500,0,2 - 2
TS41,BIC,42500,0,2 - 2
TS42,R2,0,0,2 - 2
TS42,R2_Adj,0,0,2 - 2
TS42,AIC,0,0,2 - 2
TS42,BIC,0,0,2 - 2
TS43,R2,12500,0,2 - 7
TS43,R2_Adj,12500,0,2 - 7
TS43,AIC,12500,0,2 - 7
TS43,BIC,12500,0,2 - 7
TS44,R2,1000,0,1 - 3
TS44,R2_Adj,1000,0,1 - 3
TS44,AIC,1000,0,1 - 3
TS44,BIC,1000,0,1 - 3
TS45,R2,50,1,2 - 6
TS45,R2_Adj,50,1,2 - 6
TS45,AIC,50,1,2 - 6
TS45,BIC,50,1,2 - 6
TS46,R2,1000,0,1 - 7
TS46,R2_Adj,1000,0,1 - 7
TS46,AIC,1000,0,1 - 7
TS46,BIC,1000,0,1 - 7
TS47,R2,1,0,2 - 4
TS47,R2_Adj,1,0,2 - 4
TS47,AIC,1,0,2 - 4
TS47,BIC,1,0,2 - 4
TS48,R2,500,2,2 - 10
TS48,R2_Adj,500,2,2 - 10
TS48,AIC,500,2,2 - 10
TS48,BIC,500,2,2 - 10
TS49,R2,50000,1,2 - 2
TS49,R2_Adj,50000,1,2 - 2
TS49,AIC,50000,1,2 - 2
TS49,BIC,50000,1,2 - 2
TS50,R2,50,1,2 - 4
TS50,R2_Adj,50,1,2 - 4
TS50,AIC,50,1,2 - 4
TS50,BIC,50,1,2 - 4
TS51,R2,30000,0,2 - 4
TS51,R2_Adj,30000,0,2 - 4
TS51,AIC,30000,0,2 - 4
TS51,BIC,30000,0,2 - 4
TS52,R2,500,2,2 - 10
TS52,R2_Adj,500,2,2 - 10
TS52,AIC,500,2,2 - 10
TS52,BIC,500,2,2 - 10
TS53,R2,8000,0,2 - 3
TS53,R2_Adj,8000,0,2 - 3
TS53,AIC,8000,0,2 - 3
TS53,BIC,8000,0,2 - 3
TS54,R2,0,0,2 - 2
TS54,R2_Adj,0,0,2 - 2
TS54,AIC,0,0,2 - 2
TS54,BIC,0,0,2 - 2
TS55,R2,0,0,2 - 2
TS55,R2_Adj,0,0,2 - 2
TS55,AIC,0,0,2 - 2
TS55,BIC,0,0,2 - 2
TS56,R2,300,1,2 - 2
TS56,R2_Adj,300,1,2 - 2
TS56,AIC,300,1,2 - 2
TS56,BIC,300,1,2 - 2
TS57,R2,50000,0,2 - 3
TS57,R2_Adj,50000,0,2 - 3
TS57,AIC,50000,0,2 - 3
TS57,BIC,50000,0,2 - 3
TS58,R2,12500,2,2 - 9
TS58,R2_Adj,12500,2,2 - 9
TS58,AIC,12500,2,2 - 9
TS58,BIC,12500,2,2 - 9
TS59,R2,1000,2,2 - 6
TS59,R2_Adj,1000,2,2 - 6
TS59,AIC,1000,2,2 - 6
TS59,BIC,1000,2,2 - 6
TS60,R2,0,0,2 - 2
TS60,R2_Adj,0,0,2 - 2
TS60,AIC,0,0,2 - 2
TS60,BIC,0,0,2 - 2
TS61,R2,0,0,2 - 2
TS61,R2_Adj,0,0,2 - 2
TS61,AIC,0,0,2 - 2
TS61,BIC,0,0,2 - 2
TS62,R2,1000,0,2 - 7
TS62,R2_Adj,1000,0,2 - 7
TS62,AIC,1000,0,2 - 7
TS62,BIC,1000,0,2 - 7
TS63,R2,50000,1,2 - 2
TS63,R2_Adj,50000,1,2 - 2
TS63,AIC,50000,1,2 - 2
TS63,BIC,50000,1,2 - 2
TS64,R2,50000,1,2 - 2
TS64,R2_Adj,50000,1,2 - 2
TS64,AIC,50000,1,2 - 2
TS64,BIC,50000,1,2 - 2
TS65,R2,300,0,2 - 3
TS65,R2_Adj,300,0,2 - 3
TS65,AIC,300,0,2 - 3
TS65,BIC,300,0,2 - 3
TS66,R2,0,0,2 - 2
TS66,R2_Adj,0,0,2 - 2
TS66,AIC,0,0,2 - 2
TS66,BIC,0,0,2 - 2
TS67,R2,2500,0,2 - 2
TS67,R2_Adj,2500,0,2 - 2
TS67,AIC,2500,0,2 - 2
TS67,BIC,2500,0,2 - 2
TS68,R2,300,0,2 - 4
TS68,R2_Adj,300,0,2 - 4
TS68,AIC,300,0,2 - 4
TS68,BIC,300,0,2 - 4
TS69,R2,50,1,2 - 9
TS69,R2_Adj,50,1,2 - 9
TS69,AIC,50,1,2 - 9
TS69,BIC,50,1,2 - 9
TS70,R2,50000,1,2 - 3
TS70,R2_Adj,50000,1,2 - 3
TS70,AIC,50000,1,2 - 3
TS70,BIC,50000,1,2 - 3
TS71,R2,0,0,2 - 2
TS71,R2_Adj,0,0,2 - 2
TS71,AIC,0,0,2 - 2
TS71,BIC,0,0,2 - 2
TS72,R2,300,0,2 - 2
TS72,R2_Adj,300,0,2 - 2
TS72,AIC,300,0,2 - 2
TS72,BIC,300,0,2 - 2
TS73,R2,6000,1,2 - 10
TS73,R2_Adj,6000,1,2 - 10
TS73,AIC,6000,1,2 - 10
TS73,BIC,6000,1,2 - 10
TS74,R2,50000,1,2 - 9
TS74,R2_Adj,50000,1,2 - 9
TS74,AIC,50000,1,2 - 9
TS74,BIC,50000,1,2 - 9
TS75,R2,100,2,2 - 9
TS75,R2_Adj,100,2,2 - 9
TS75,AIC,100,2,2 - 9
TS75,BIC,100,2,2 - 9
TS76,R2,0,0,2 - 2
TS76,R2_Adj,0,0,2 - 2
TS76,AIC,0,0,2 - 2
TS76,BIC,0,0,2 - 2
TS77,R2,50000,1,2 - 2
TS77,R2_Adj,50000,1,2 - 2
TS77,AIC,50000,1,2 - 2
TS77,BIC,50000,1,2 - 2
TS78,R2,50000,1,2 - 10
TS78,R2_Adj,50000,1,2 - 10
TS78,AIC,50000,1,2 - 10
TS78,BIC,50000,1,2 - 10
TS79,R2,1,0,2 - 5
TS79,R2_Adj,1,0,2 - 5
TS79,AIC,1,0,2 - 5
TS79,BIC,1,0,2 - 5
TS80,R2,40000,1,2 - 6
TS80,R2_Adj,40000,1,2 - 6
TS80,AIC,40000,1,2 - 6
TS80,BIC,40000,1,2 - 6
TS81,R2,1000,2,2 - 5
TS81,R2_Adj,1000,2,2 - 5
TS81,AIC,1000,2,2 - 5
TS81,BIC,1000,2,2 - 5
TS82,R2,0,0,2 - 2
TS82,R2_Adj,0,0,2 - 2
TS82,AIC,0,0,2 - 2
TS82,BIC,0,0,2 - 2
TS83,R2,0,0,2 - 2
TS83,R2_Adj,0,0,2 - 2
TS83,AIC,0,0,2 - 2
TS83,BIC,0,0,2 - 2
TS84,R2,50000,1,2 - 3
TS84,R2_Adj,50000,1,2 - 3
