Time Series,Metric,alpha,init,IMFs
TS42,R2,50,2,1 - 1
TS42,R2_Adj,50,2,1 - 1
TS42,AIC,50,2,1 - 1
TS42,BIC,50,2,1 - 1
TS43,R2,3500,1,1 - 6
TS43,R2_Adj,3500,1,1 - 6
TS43,AIC,3500,1,1 - 6
TS43,BIC,3500,1,1 - 6
TS44,R2,50000,0,1 - 1
TS44,R2_Adj,50000,0,1 - 1
TS44,AIC,50000,0,1 - 1
TS44,BIC,50000,0,1 - 1
TS45,R2,47500,0,1 - 1
TS45,R2_Adj,47500,0,1 - 1
TS45,AIC,47500,0,1 - 1
TS45,BIC,47500,0,1 - 1
TS46,R2,50000,2,1 - 1
TS46,R2_Adj,50000,2,1 - 1
TS46,AIC,50000,2,1 - 1
TS46,BIC,50000,2,1 - 1
TS47,R2,50000,0,1 - 1
TS47,R2_Adj,50000,0,1 - 1
TS47,AIC,50000,0,1 - 1
TS47,BIC,50000,0,1 - 1
TS48,R2,50000,0,1 - 1
TS48,R2_Adj,50000,0,1 - 1
TS48,AIC,50000,0,1 - 1
TS48,BIC,50000,0,1 - 1
TS49,R2,47500,2,1 - 1
TS49,R2_Adj,47500,2,1 - 1
TS49,AIC,47500,2,1 - 1
TS49,BIC,47500,2,1 - 1
TS50,R2,47500,2,1 - 1
TS50,R2_Adj,47500,2,1 - 1
TS50,AIC,47500,2,1 - 1
TS50,BIC,47500,2,1 - 1
TS51,R2,50000,0,1 - 1
TS51,R2_Adj,50000,0,1 - 1
TS51,AIC,50000,0,1 - 1
TS51,BIC,50000,0,1 - 1
TS52,R2,1,2,1 - 1
TS52,R2_Adj,1,2,1 - 1
TS52,AIC,1,2,1 - 1
TS52,BIC,1,2,1 - 1
TS53,R2,50000,0,1 - 1
TS53,R2_Adj,50000,0,1 - 1
TS53,AIC,50000,0,1 - 1
TS53,BIC,50000,0,1 - 1
TS54,R2,500,0,1 - 9
TS54,R2_Adj,500,0,1 - 9
TS54,AIC,500,0,1 - 9
TS54,BIC,500,0,1 - 9
TS55,R2,12500,0,1 - 3
TS55,R2_Adj,12500,0,1 - 3
TS55,AIC,12500,0,1 - 3
TS55,BIC,12500,0,1 - 3
TS56,R2,12500,2,1 - 2
TS56,R2_Adj,12500,2,1 - 2
TS56,AIC,12500,2,1 - 2
TS56,BIC,12500,2,1 - 2
TS57,R2,7500,0,1 - 9
TS57,R2_Adj,7500,0,1 - 9
TS57,AIC,7500,0,1 - 9
TS57,BIC,7500,0,1 - 9
TS58,R2,50000,0,1 - 1
TS58,R2_Adj,50000,0,1 - 1
TS58,AIC,50000,0,1 - 1
TS58,BIC,50000,0,1 - 1
TS59,R2,50000,0,1 - 1
TS59,R2_Adj,50000,0,1 - 1
TS59,AIC,50000,0,1 - 1
TS59,BIC,50000,0,1 - 1
TS60,R2,1500,2,1 - 10
TS60,R2_Adj,1500,2,1 - 10
TS60,AIC,1500,2,1 - 10
TS60,BIC,1500,2,1 - 10
TS61,R2,50000,0,1 - 1
TS61,R2_Adj,50000,0,1 - 1
TS61,AIC,50000,0,1 - 1
TS61,BIC,50000,0,1 - 1
TS62,R2,500,2,1 - 2
TS62,R2_Adj,500,2,1 - 2
TS62,AIC,500,2,1 - 2
TS62,BIC,500,2,1 - 2
TS63,R2,50000,2,1 - 1
TS63,R2_Adj,50000,2,1 - 1
TS63,AIC,50000,2,1 - 1
TS63,BIC,50000,2,1 - 1
TS64,R2,50000,0,1 - 1
TS64,R2_Adj,50000,0,1 - 1
TS64,AIC,50000,0,1 - 1
TS64,BIC,50000,0,1 - 1
TS65,R2,45000,0,1 - 1
TS65,R2_Adj,45000,0,1 - 1
TS65,AIC,45000,0,1 - 1
TS65,BIC,45000,0,1 - 1
TS66,R2,15000,1,1 - 1
TS66,R2_Adj,15000,1,1 - 1
TS66,AIC,15000,1,1 - 1
TS66,BIC,15000,1,1 - 1
TS67,R2,50000,2,1 - 1
TS67,R2_Adj,50000,2,1 - 1
TS67,AIC,50000,2,1 - 1
TS67,BIC,50000,2,1 - 1
TS68,R2,27500,2,1 - 2
TS68,R2_Adj,27500,2,1 - 2
TS68,AIC,27500,2,1 - 2
TS68,BIC,27500,2,1 - 2
TS69,R2,50000,0,1 - 1
TS69,R2_Adj,50000,0,1 - 1
TS69,AIC,50000,0,1 - 1
TS69,BIC,50000,0,1 - 1
TS70,R2,27500,2,1 - 2
TS70,R2_Adj,27500,2,1 - 2
TS70,AIC,27500,2,1 - 2
TS70,BIC,27500,2,1 - 2
TS71,R2,50000,0,1 - 1
TS71,R2_Adj,50000,0,1 - 1
TS71,AIC,50000,0,1 - 1
TS71,BIC,50000,0,1 - 1
TS72,R2,50000,2,1 - 8
TS72,R2_Adj,50000,2,1 - 8
TS72,AIC,50000,2,1 - 8
TS72,BIC,50000,2,1 - 8
TS73,R2,17500,0,1 - 1
TS73,R2_Adj,17500,0,1 - 1
TS73,AIC,17500,0,1 - 1
TS73,BIC,17500,0,1 - 1
TS74,R2,30000,2,1 - 3
TS74,R2_Adj,30000,2,1 - 3
TS74,AIC,30000,2,1 - 3
TS74,BIC,30000,2,1 - 3
TS75,R2,20000,0,1 - 7
TS75,R2_Adj,20000,0,1 - 7
TS75,AIC,20000,0,1 - 7
TS75,BIC,20000,0,1 - 7
TS76,R2,45000,2,1 - 2
TS76,R2_Adj,45000,2,1 - 2
TS76,AIC,45000,2,1 - 2
TS76,BIC,45000,2,1 - 2
TS77,R2,8000,1,1 - 2
TS77,R2_Adj,8000,1,1 - 2
TS77,AIC,8000,1,1 - 2
TS77,BIC,8000,1,1 - 2
TS78,R2,50,0,1 - 10
TS78,R2_Adj,50,0,1 - 10
TS78,AIC,50,0,1 - 10
TS78,BIC,50,0,1 - 10
TS79,R2,50,1,1 - 1
TS79,R2_Adj,50,1,1 - 1
TS79,AIC,50,1,1 - 1
TS79,BIC,50,1,1 - 1
TS80,R2,20000,1,1 - 1
TS80,R2_Adj,20000,1,1 - 1
TS80,AIC,20000,1,1 - 1
TS80,BIC,20000,1,1 - 1
TS81,R2,0,0,1 - 1
TS81,R2_Adj,1,0,1 - 1
TS81,AIC,50000,2,1 - 1
TS81,BIC,50000,2,1 - 1
TS82,R2,50,1,1 - 6
TS82,R2_Adj,50,1,1 - 6
TS82,AIC,50,1,1 - 6
TS82,BIC,50,1,1 - 6
TS83,R2,50000,0,1 - 1
TS83,R2_Adj,50000,0,1 - 1
TS83,AIC,50000,0,1 - 1
TS83,BIC,50000,0,1 - 1
TS84,R2,1,1,1 - 5
TS84,R2_Adj,1,1,1 - 5
TS84,AIC,1,1,1 - 5
TS84,BIC,1,1,1 - 5
TS85,R2,42500,2,1 - 1
TS85,R2_Adj,42500,2,1 - 1
TS85,AIC,42500,2,1 - 1
TS85,BIC,42500,2,1 - 1
TS86,R2,50000,0,1 - 1
TS86,R2_Adj,50000,0,1 - 1
TS86,AIC,50000,0,1 - 1
TS86,BIC,50000,0,1 - 1
TS87,R2,1,1,1 - 2
TS87,R2_Adj,1,1,1 - 2
TS87,AIC,1,1,1 - 2
TS87,BIC,1,1,1 - 2
TS88,R2,1,1,1 - 6
TS88,R2_Adj,1,1,1 - 6
TS88,AIC,1,1,1 - 6
TS88,BIC,1,1,1 - 6
TS89,R2,22500,2,1 - 4
TS89,R2_Adj,22500,2,1 - 4
TS89,AIC,22500,2,1 - 4
TS89,BIC,22500,2,1 - 4
TS90,R2,300,0,1 - 5
TS90,R2_Adj,300,0,1 - 5
TS90,AIC,300,0,1 - 5
TS90,BIC,300,0,1 - 5
TS91,R2,10000,2,1 - 10
TS91,R2_Adj,10000,2,1 - 10
TS91,AIC,10000,2,1 - 10
TS91,BIC,10000,2,1 - 10
TS92,R2,50000,2,1 - 1
TS92,R2_Adj,50000,2,1 - 1
TS92,AIC,50000,2,1 - 1
TS92,BIC,50000,2,1 - 1
TS93,R2,300,1,1 - 10
TS93,R2_Adj,300,1,1 - 10
TS93,AIC,300,1,1 - 10
TS93,BIC,300,1,1 - 10
TS94,R2,1,1,1 - 2
TS94,R2_Adj,1,1,1 - 2
TS94,AIC,1,1,1 - 2
TS94,BIC,1,1,1 - 2
TS95,R2,50000,1,1 - 6
TS95,R2_Adj,50000,1,1 - 6
TS95,AIC,50000,1,1 - 6
TS95,BIC,50000,1,1 - 6
TS96,R2,20000,0,1 - 6
TS96,R2_Adj,17500,2,1 - 6
TS96,AIC,17500,2,1 - 6
TS96,BIC,17500,2,1 - 6
TS97,R2,300,1,1 - 4
TS97,R2_Adj,300,1,1 - 4
TS97,AIC,300,1,1 - 4
TS97,BIC,300,1,1 - 4
TS98,R2,47500,2,1 - 2
TS98,R2_Adj,47500,2,1 - 2
TS98,AIC,47500,2,1 - 2
TS98,BIC,47500,2,1 - 2
TS99,R2,50000,0,1 - 1
TS99,R2_Adj,50000,0,1 - 1
TS99,AIC,50000,0,1 - 1
TS99,BIC,50000,0,1 - 1
TS100,R2,32500,0,1 - 4
TS100,R2_Adj,32500,0,1 - 4
TS100,AIC,7500,2,1 - 2
TS100,BIC,7500,2,1 - 2
